species,p_value
Leptotrichia_hofstadii,0.4273553138978077
Buttiauxella_agrestis,
Acetivibrio_ethanolgignens,
Simonsiella_muelleri,0.5348677310250022
Eikenella_corrodens,0.3846730627355087
Sphingobacterium_hotanense,
Lonepinella_koalarum,
Prevotella_enoeca,0.7845857603861759
Enterococcus_italicus,
Cupriavidus_gilardii,
Streptococcus_sobrinus,
Bavariicoccus_seileri,
Olsenella_umbonata,
Perlucidibaca_piscinae,
Prevotella_baroniae,0.9095864090443472
Myroides_marinus,
Bacteroides_acidifaciens,0.6156417277942268
Streptococcus_suis,
Butyrivibrio_hungatei,0.4923757251323919
Ralstonia_solanacearum,
Finegoldia_magna,
Atopobacter_phocae,
Lactobacillus_gastricus,
Acinetobacter_junii,1.0
Lactobacillus_ingluviei,
Ornatilinea_apprima,
Howardella_ureilytica,0.10116105881500473
Saccharofermentans_acetigenes,1.0
Nocardioides_fulvus,
Chryseobacterium_kwangjuense,0.8711511457711205
Leptotrichia_hongkongensis,0.16197241048012612
Treponema_amylovorum,0.21212191786139534
Staphylococcus_aureus,
Enterobacter_cloacae,
Campylobacter_fetus,
Agromyces_rhizospherae,
Corynebacterium_jeikeium,
Lactobacillus_rhamnosus,
Streptococcus_agalactiae,0.5842485531772132
Brevundimonas_kwangchunensis,
Desulfomicrobium_orale,1.0
Scardovia_inopinata,
Massilia_timonae,
Gemmata_obscuriglobus,
Pantoea_endophytica,
Prevotella_salivae,0.6231762238821174
Corynebacterium_kroppenstedtii,
Gemella_cuniculi,
Aggregatibacter_aphrophilus,0.7337299956962472
Sneathia_sanguinegens,0.6704052955096476
Lactobacillus_panis,
Alysiella_crassa,
Deinococcus_geothermalis,
Bacteroides_nordii,
Acidaminococcus_fermentans,0.6704052955096476
Bacteriovorax_stolpii,
Acholeplasma_palmae,
Thermus_brockianus,
Ceratophyllum_demersum,
Selenomonas_ruminantium,0.5842485531772132
Clostridium_aminovalericum,
Paracoccus_aminophilus,
Corynebacterium_sputi,
Pleomorphomonas_koreensis,
Pantoea_stewartii,
Lactobacillus_plantarum,
Streptococcus_mutans,0.6704052955096476
Treponema_medium,0.08897301170181328
Curvibacter_fontanus,
Moraxella_osloensis,
Actinomyces_lingnae,0.12122450301291662
Flavonifractor_plautii,
Actinomyces_massiliensis,0.2322841305781137
Aggregatibacter_segnis,0.9698499769931556
Prevotella_pleuritidis,0.23124249716061973
Macrococcus_caseolyticus,
Prevotella_ruminicola,0.514940185830185
Leuconostoc_lactis,
Bacteroides_vulgatus,
Peptoniphilus_indolicus,
Propionibacterium_acnes,
Moryella_indoligenes,1.0
Chryseobacterium_stagni,
Prevotella_paludivivens,0.21428947867143555
Fusobacterium_nucleatum,0.9097218891455553
Klebsiella_alba,
Altererythrobacter_dongtanensis,
Prevotella_nanceiensis,0.5707503880581739
Agrobacterium_tumefaciens,1.0
Corynebacterium_durum,0.04515456962427901
Peptococcus_niger,0.3074894566186813
Fusobacterium_periodonticum,0.4273553138978077
Rahnella_aquatilis,
Herbaspirillum_seropedicae,
Thermobaculum_terrenum,
Klebsiella_granulomatis,
Wolinella_succinogenes,0.14971082418939283
Corynebacterium_afermentans,
Prevotella_loescheii,0.24132159301718004
Actinomyces_gerencseriae,0.6490364230072798
Yersinia_rohdei,
Prevotella_oralis,0.9053711701409971
Acinetobacter_soli,
Porphyromonas_asaccharolytica,
Piscicoccus_intestinalis,
Streptococcus_pneumoniae,0.5205228832757727
Nocardioides_ginsengagri,
Stenotrophomonas_maltophilia,
Butyrivibrio_fibrisolvens,0.4562028338837304
Lactococcus_lactis,
Bacteroides_thetaiotaomicron,
Prevotella_denticola,0.9097218891455553
Tetracoccus_cechii,
Acinetobacter_baumannii,1.0
Porphyromonas_gulae,0.8085426673079654
Anaerococcus_lactolyticus,
Mycoplasma_lipophilum,
Neisseria_subflava,0.10410988966022681
Kocuria_rhizophila,
Lactococcus_garvieae,
Lactobacillus_helveticus,
Pectinatus_brassicae,
Flavobacterium_limicola,
Streptococcus_constellatus,0.3277922976814811
Veillonella_atypica,0.47267559351158717
Buchnera_aphidicola,
Mesorhizobium_amorphae,
Brooklawnia_cerclae,1.0
Sphaerotilus_natans,
Selenomonas_dianae,0.018660759324487613
Bergeyella_zoohelcum,0.5842485531772132
Butyricicoccus_pullicaecorum,
Treponema_succinifaciens,0.07887745278298923
Bordetella_ansorpii,
Enterococcus_cecorum,
Citrobacter_freundii,
Chryseobacterium_jejuense,
Dialister_pneumosintes,0.21160560249578764
Bacillus_amyloliquefaciens,
Blastococcus_aggregatus,
Nocardioides_alpinus,
Moraxella_bovoculi,0.12358420113551419
Methanomassiliicoccus_luminyensis,
Comamonas_aquatica,
Yersinia_pseudotuberculosis,
Pseudoxanthomonas_spadix,
Dialister_micraerophilus,
Neisseria_macacae,0.8711511457711205
Lactobacillus_salivarius,0.12358420113551419
Treponema_putidum,0.7562217044097798
Prevotella_multisaccharivorax,0.6490364230072798
Weissella_confusa,
Actinomyces_graevenitzii,0.24132159301718004
Lactobacillus_pontis,
Veillonella_montpellierensis,
Neisseria_shayeganii,0.3529711643543677
Prevotella_micans,0.09312526876605122
Bacillus_cereus,
Rhizobium_cellulosilyticum,
Microlunatus_phosphovorus,
Haemophilus_haemolyticus,0.7912601064031788
Shuttleworthia_satelles,1.0
Moraxella_boevrei,1.0
Campylobacter_concisus,0.5707503880581739
Neisseria_sicca,0.4282580450167388
Fusobacterium_equinum,
Porphyromonas_canoris,
Megasphaera_micronuciformis,0.6231762238821174
Corynebacterium_accolens,
Aquabacterium_citratiphilum,
Mycoplasma_spermatophilum,
Mycoplasma_hyosynoviae,
Morganella_morganii,
Treponema_stenostrepta,
Thermomonas_haemolytica,
Corynebacterium_diphtheriae,
Centipeda_periodontii,0.1398679114797594
Oribacterium_sinus,0.6231762238821174
Rothia_amarae,
Dioscorea_elephantipes,
Anaeroglobus_geminatus,0.12122450301291662
Granulicatella_elegans,0.4055023001299908
Psychrobacter_celer,
Mobiluncus_curtisii,0.45150957147227055
Bacteroides_zoogleoformans,0.20833320187793047
Illicium_oligandrum,
Leptotrichia_shahii,0.3074894566186813
Acholeplasma_cavigenitalium,
Desulfovibrio_desulfuricans,
